id;start_date;end_date;language
1;2020-10-17T10:17:23;2020-10-17T08:07:38;SPANISH
2;2020-10-16T15:07:34;2020-10-17T10:11:59;SPANISH
3;2020-10-17T06:02:53;2020-10-16T16:37:02;FRENCH
4;2020-10-16T21:20:24;2020-10-17T08:51:50;FRENCH
5;2020-10-17T06:50:42;2020-10-17T11:37:41;FRENCH
6;2020-10-17T00:43:03;2020-10-17T12:51:17;FRENCH
7;2020-10-17T02:28:23;2020-10-16T20:19:14;FRENCH
8;2020-10-17T01:24:36;2020-10-17T11:40:44;SPANISH
9;2020-10-17T00:05:45;2020-10-16T20:47:08;SPANISH
10;2020-10-17T08:17:49;2020-10-16T18:52:19;SPANISH
